City;Month;Min. Temperature °C (°F);Max. Temperature °C (°F);Precipitation / Rainfall mm (in);avg. Sun hours (hours);Rainy days (d)
Auckland;August;49.3;57.9;112 (4);6.2;11
Auckland;September;51.2;60.1;100 (3);6.2;10
Auckland;October;53.3;62.4;85 (3);6.5;10
Auckland;November;56.1;65.4;81 (3);6.9;9
Auckland;December;60.1;69.3;99 (3);7.2;9
Avignon;January;36.1;50;61 (2);6.2;6
Avignon;February;36.4;52.4;45 (1);7.4;5
Avignon;March;41.2;59.8;46 (1);8.7;4
Avignon;April;47.1;66.3;69 (2);10.1;6
Avignon;May;54.1;73.9;63 (2);11.7;6
Avignon;June;62.3;83.4;39 (1);13.0;4
Avignon;July;66.8;88.4;27 (1);13.1;3
Avignon;August;66.1;87.3;42 (1);11.9;3
Avignon;September;59.5;78;94 (3);10.0;5
Avignon;October;53.1;68.8;105 (4);7.7;7
Avignon;November;43.9;57.4;103 (4);6.7;7
Avignon;December;37.7;51.3;58 (2);6.1;6
Banja Luka;January;26.1;40.6;74 (2);4.8;8
Banja Luka;February;27.5;43.9;74 (2);5.2;8
Banja Luka;March;33.6;53.5;84 (3);7.2;9
Banja Luka;April;41.7;62.6;99 (3);8.8;10
Banja Luka;May;49.5;69.9;114 (4);9.9;10
Banja Luka;June;56.9;76.6;99 (3);10.8;9
Banja Luka;July;60.8;80.9;91 (3);11.0;8
Banja Luka;August;60.5;80.8;71 (2);10.1;6
Banja Luka;September;52.7;70.8;98 (3);7.9;8
Banja Luka;October;45;62.7;73 (2);6.6;7
Banja Luka;November;37.2;52.7;89 (3);5.7;8
Banja Luka;December;29.2;42.6;87 (3);4.6;9
Barcelona;January;39.2;54.1;39 (1);6.9;5
Barcelona;February;39.8;55.2;39 (1);7.3;5
Barcelona;March;43.7;60;43 (1);8.6;5
Barcelona;April;48.4;63.6;54 (2);9.4;7
Barcelona;May;54.9;69.7;48 (1);10.7;6
Barcelona;June;62.6;77.5;37 (1);11.7;4
Barcelona;July;67.7;81.7;27 (1);11.0;4
Barcelona;August;68.3;81.7;43 (1);9.9;5
Barcelona;September;63.6;75.6;82 (3);8.1;8
Barcelona;October;57.6;69.3;94 (3);7.1;8
Barcelona;November;47.2;60.6;64 (2);7.0;6
Barcelona;December;41;55.2;44 (1);6.9;5
Bath;January;44.4;66.8;19 (0);7.9;2
Bath;February;49.3;73.2;33 (1);9.2;3
Bath;March;58.3;84.5;25 (0);10.5;3
Bath;April;68.8;97.3;20 (0);11.5;3
Bath;May;77.3;104.4;20 (0);12.2;4
Bath;June;82.3;103;58 (2);12.2;7
Bath;July;81.8;96.6;128 (5);10.6;12
Bath;August;80.4;94.4;121 (4);10.3;11
Bath;September;76.4;94.2;68 (2);10.2;6
Bath;October;67.7;91.8;12 (0);10.2;2
Bath;November;57.2;81.8;5 (0);9.4;1
Bath;December;47.4;71.7;9 (0);8.6;1
Bayeux;January;76.3;84.7;71 (2);7.5;15
Bayeux;February;76.6;84.8;82 (3);7.5;15
Bayeux;March;76.7;84.8;107 (4);7.4;17
Bayeux;April;76.2;84;133 (5);7.1;17
Bayeux;May;75.4;82.7;132 (5);6.7;17
Bayeux;June;73.8;80.7;135 (5);6.5;17
Bayeux;July;72.7;79.6;127 (5);6.4;18
Bayeux;August;72.4;80.1;68 (2);6.6;15
Bayeux;September;73.4;81.5;47 (1);6.7;12
Bayeux;October;74.7;83.3;37 (1);6.8;11
Bayeux;November;75.8;84.5;34 (1);7.4;9
Bayeux;December;76.3;84.8;46 (1);7.7;12
Beijing;January;16.8;35.7;4 (0);8.1;1
Beijing;February;22;42.8;6 (0);8.7;1
Beijing;March;31.3;56.4;10 (0);10.0;2
Beijing;April;45.3;70.9;22 (0);11.1;3
Beijing;May;58.1;83.6;37 (1);12.1;4
Beijing;June;67.9;89.7;79 (3);11.7;6
Beijing;July;72.9;90;170 (6);10.4;10
Beijing;August;69.8;86.9;125 (4);10.3;8
Beijing;September;59.9;80;61 (2);9.8;5
Beijing;October;45.5;67.1;33 (1);8.7;3
Beijing;November;29.5;50.2;15 (0);8.1;2
Beijing;December;20.3;37.7;4 (0);7.8;1
Beirut;January;43.8;58.6;147 (5);7.4;10
Beirut;February;44.6;60.5;143 (5);8.0;8
Beirut;March;47.9;65;106 (4);9.0;7
Beirut;April;52.6;70.7;48 (1);10.3;4
Beirut;May;59.2;77.6;19 (0);11.4;3
Beirut;June;65.4;82.8;3 (0);11.9;1
Beirut;July;69.7;86.5;1 (0);11.9;0
Beirut;August;70.7;87;1 (0);10.8;0
Beirut;September;67.9;84.4;8 (0);9.7;1
Beirut;October;62.4;79.3;33 (1);9.3;4
Beirut;November;53.7;70.7;80 (3);8.6;6
Beirut;December;47.3;62.4;137 (5);7.7;8
Belfast;January;38.2;44.6;85 (3);3.2;11
Belfast;February;37.8;44.9;69 (2);3.9;10
Belfast;March;38.7;47.3;69 (2);4.7;11
Belfast;April;41.7;50.9;72 (2);6.3;10
Belfast;May;46.1;55.7;77 (3);7.6;11
Belfast;June;50.8;60;82 (3);7.1;10
Belfast;July;53.7;62.7;88 (3);6.5;11
Belfast;August;53.8;62.2;87 (3);6.0;11
Belfast;September;51.7;59.6;75 (2);4.8;10
Belfast;October;47.6;54.4;96 (3);4.2;11
Belfast;November;42.5;48.7;92 (3);3.7;11
Belfast;December;39.1;45.5;87 (3);3.2;10
Belgrade;January;27.6;40;48 (1);4.8;7
Belgrade;February;29.8;44.2;47 (1);5.6;7
Belgrade;March;36.7;54.4;55 (2);7.9;7
Belgrade;April;46.3;64.5;62 (2);9.8;8
Belgrade;May;54.8;72.9;71 (2);10.9;9
Belgrade;June;61.8;79.4;77 (3);11.4;8
Belgrade;July;65.5;83.4;70 (2);11.7;7
Belgrade;August;65.7;83.8;53 (2);11.0;6
Belgrade;September;57.6;74;56 (2);8.9;6
Belgrade;October;48.8;64.2;50 (1);7.3;6
Belgrade;November;40.6;53.7;51 (2);6.0;6
Belgrade;December;31.1;42;56 (2);4.5;8
Berlin;January;28.6;37;56 (2);2.7;9
Berlin;February;29.5;40;41 (1);3.9;7
Berlin;March;33.2;47.1;53 (2);5.4;9
Berlin;April;40.3;57.9;42 (1);8.7;8
Berlin;May;48.9;66.1;60 (2);10.2;8
Berlin;June;55.2;71.8;67 (2);11.0;8
Berlin;July;59.4;75.3;81 (3);10.9;9
Berlin;August;58.9;75;62 (2);10.2;8
Berlin;September;52.6;67.2;56 (2);7.4;7
Berlin;October;45.1;56.8;49 (1);5.0;7
Berlin;November;37.7;46.4;48 (1);3.5;8
Berlin;December;32.2;39.6;54 (2);2.6;9
Big Sur;January;45.9;55.6;133 (5);7.1;7
Big Sur;February;45.5;54.9;131 (5);7.1;8
Big Sur;March;46.3;56.4;93 (3);8.4;6
Big Sur;April;46.8;57.3;42 (1);9.2;4
Big Sur;May;49.1;60.2;19 (0);10.0;2
Big Sur;June;52.2;64.8;4 (0);11.0;1
Big Sur;July;55;68;1 (0);11.0;0
Big Sur;August;55.6;68.6;2 (0);10.6;0
Big Sur;September;56.4;69;3 (0);10.0;1
Big Sur;October;53.9;65.4;24 (0);9.0;2
Big Sur;November;49.5;59.6;55 (2);7.7;4
Big Sur;December;46.1;55.1;117 (4);6.8;7
Big;January;69.8;81.5;244 (9);6.5;17
Big;February;70.1;81.6;226 (8);6.7;15
Big;March;68.6;79.9;158 (6);6.2;15
Big;April;64.7;76.6;105 (4);5.9;10
Big;May;58.8;70.9;118 (4);5.8;8
Big;June;55.5;68.3;100 (3);5.8;7
Big;July;53.8;67.2;95 (3);5.9;7
Big;August;55.4;69.1;94 (3);5.8;7
Big;September;58.4;70.5;159 (6);5.1;10
Big;October;62;73.4;152 (5);4.6;12
Big;November;64.3;75.8;152 (5);5.2;13
Big;December;67.7;79.5;170 (6);5.9;14
Billund;January;30.6;38;72 (2);2.5;10
Billund;February;30.2;38.7;59 (2);3.2;9
Billund;March;32.3;43.8;58 (2);4.9;9
Billund;April;37.7;52.8;52 (2);8.0;8
Billund;May;44.6;60;62 (2);9.2;9
Billund;June;50.4;64.3;77 (3);9.2;9
Billund;July;54.9;68.6;81 (3);9.3;9
Billund;August;55.1;67.8;88 (3);8.6;11
Billund;September;51.1;62.3;84 (3);6.3;9
Billund;October;44.7;54;82 (3);4.4;10
Billund;November;38.4;45.8;68 (2);2.9;9
Billund;December;33.3;40.3;70 (2);2.4;10
Bogota;January;48.9;63.5;81 (3);5.5;15
Bogota;February;49.6;64;101 (3);5.4;15
Bogota;March;50.2;63.4;141 (5);5.2;18
Bogota;April;50.4;62.4;152 (5);5.2;17
Bogota;May;50.5;62.1;103 (4);5.6;15
Bogota;June;50.1;62.1;54 (2);5.6;11
Bogota;July;49.8;62.7;48 (1);5.5;11
Bogota;August;49.8;64.5;31 (1);6.3;7
Bogota;September;49.4;65;41 (1);7.0;9
Bogota;October;49;63.2;110 (4);6.0;15
Bogota;November;49;62.5;133 (5);5.3;17
Bogota;December;49;62.9;96 (3);5.5;15
Bologna;January;32.5;46.5;49 (1);5.0;6
Bologna;February;33;49.7;68 (2);6.1;6
Bologna;March;39.5;58.1;66 (2);7.8;6
Bologna;April;46.4;65.2;82 (3);9.2;8
Bologna;May;54.3;73.7;79 (3);11.3;7
Bologna;June;62.4;82.7;62 (2);12.5;6
Bologna;July;67.2;87.6;48 (1);12.5;5
Bologna;August;66.9;86.7;54 (2);11.3;6
Bologna;September;59;76.6;71 (2);9.3;6
Bologna;October;51.7;66.9;82 (3);6.2;7
Bologna;November;43;56.3;95 (3);5.1;7
Bologna;December;34.2;47.8;69 (2);5.0;7
Boston;January;19.7;34.9;99 (3);5.9;8
Boston;February;21.7;37.7;87 (3);6.7;7
Boston;March;28.3;44.7;117 (4);7.2;8
Boston;April;39.3;56.8;103 (4);8.3;8
Boston;May;49.7;66.5;88 (3);8.6;8
Boston;June;59.2;75.5;90 (3);9.7;7
Boston;July;65.8;82;76 (2);10.6;7
Boston;August;65;80.4;90 (3);9.7;7
Boston;September;58.8;73.4;90 (3);8.0;6
Boston;October;47.7;61.3;110 (4);6.6;7
Boston;November;37.3;50.4;95 (3);5.9;7
Boston;December;27.3;40.4;117 (4);5.4;8
Brisbane;January;70.4;83.7;127 (5);8.4;10
Brisbane;February;69.9;82.6;126 (4);8.1;10
Brisbane;March;67.9;80.5;101 (3);7.7;10
Brisbane;April;62.6;76.5;55 (2);8.1;7
Brisbane;May;56.4;72.2;68 (2);8.1;5
Brisbane;June;52.7;67.8;56 (2);7.5;5
Brisbane;July;50;67.9;30 (1);8.1;3
Brisbane;August;51.3;70.6;37 (1);8.7;4
Brisbane;September;56.6;75.6;38 (1);9.0;4
Brisbane;October;61.4;78.4;72 (2);8.7;6
Brisbane;November;65.1;80.7;89 (3);9.0;8
Brisbane;December;68.2;83;110 (4);9.1;9
Brussels;January;34.1;42.5;69 (2);3.1;9
Brussels;February;33.8;44.4;63 (2);3.9;9
Brussels;March;36.6;50.6;60 (2);5.5;9
Brussels;April;41.3;57.8;54 (2);7.8;9
Brussels;May;48.1;63.9;67 (2);8.7;9
Brussels;June;53.4;69.4;72 (2);9.1;9
Brussels;July;57.5;72.6;76 (2);9.5;10
Brussels;August;57;71.8;78 (3);8.7;9
Brussels;September;52.7;66.6;58 (2);6.9;8
Brussels;October;47.7;59.1;61 (2);5.1;9
Brussels;November;40.8;49.8;70 (2);3.5;9
Brussels;December;35.7;43.6;79 (3);3.0;10
Budapest;January;25.8;36.7;40 (1);4.1;6
Budapest;February;27;40.9;38 (1);5.2;6
Budapest;March;33.6;50.7;44 (1);7.5;6
Budapest;April;43.3;62.1;50 (1);10.0;7
Budapest;May;52;70;70 (2);11.1;9
Budapest;June;59.1;76.6;72 (2);12.1;8
Budapest;July;62.6;80.1;71 (2);12.3;8
Budapest;August;61.9;79.6;59 (2);11.4;6
Budapest;September;54.1;70.1;60 (2);8.9;6
Budapest;October;45.3;60;54 (2);6.4;6
Budapest;November;37.3;48.8;55 (2);4.6;7
Budapest;December;28.2;38.3;48 (1);3.8;7
Buenos Aires;January;69.4;82.7;89 (3);11.3;5
Buenos Aires;February;68.5;80.4;110 (4);10.0;6
Buenos Aires;March;64.7;76;101 (3);8.8;6
Buenos Aires;April;58.8;70.1;106 (4);7.8;7
Buenos Aires;May;53;62.9;77 (3);6.6;5
Buenos Aires;June;47.9;58.2;75 (2);6.3;6
Buenos Aires;July;46.2;56.6;76 (2);6.5;6
Buenos Aires;August;48.4;60.2;75 (2);7.3;5
Buenos Aires;September;51.5;63.6;82 (3);8.0;5
Buenos Aires;October;56.7;68.8;125 (4);8.7;8
Buenos Aires;November;61.4;75;102 (4);10.7;6
Buenos Aires;December;66;80.2;94 (3);11.6;6
Cabo;January;76;82.5;80 (3);7.9;17
Cabo;February;76.4;83;84 (3);7.9;15
Cabo;March;76.4;83.2;105 (4);7.8;17
Cabo;April;76;82.5;141 (5);7.4;18
Cabo;May;75.1;81.1;174 (6);6.9;19
Cabo;June;73.8;79.3;202 (7);6.8;19
Cabo;July;72.7;78.1;180 (7);6.7;19
Cabo;August;72.5;78.2;116 (4);7.0;18
Cabo;September;73.3;79.1;78 (3);7.0;16
Cabo;October;74.4;80.6;60 (2);7.3;15
Cabo;November;75.4;81.8;49 (1);7.7;13
Cabo;December;76;82.4;56 (2);7.9;14
Cadiz;January;47;60;76 (2);6.9;6
Cadiz;February;48.1;61.7;67 (2);7.6;5
Cadiz;March;51.7;65.3;66 (2);8.8;5
Cadiz;April;55;68.7;61 (2);9.9;5
Cadiz;May;60.1;75.3;32 (1);11.4;4
Cadiz;June;66.2;82.6;7 (0);12.3;1
Cadiz;July;69.7;87.4;1 (0);12.4;0
Cadiz;August;70.7;88.4;4 (0);11.5;0
Cadiz;September;67.1;82.4;29 (1);10.0;3
Cadiz;October;62;75.3;89 (3);8.6;6
Cadiz;November;53.6;65.8;89 (3);7.6;6
Cadiz;December;49.2;61.6;105 (4);6.8;7
Cairo;January;46.1;66.5;5 (0);7.9;1
Cairo;February;47.6;70;4 (0);8.8;1
Cairo;March;51.5;76.8;3 (0);10.0;0
Cairo;April;56.4;84.2;1 (0);11.1;0
Cairo;May;62.7;91.6;0 (0);11.9;0
Cairo;June;67.5;96.4;0 (0);12.1;0
Cairo;July;70.3;98.2;0 (0);11.6;0
Cairo;August;71.3;97.8;0 (0);10.9;0
Cairo;September;68.6;94;0 (0);10.3;0
Cairo;October;63.9;86.7;1 (0);9.6;0
Cairo;November;56.7;77.9;2 (0);8.6;0
Cairo;December;49.7;69.5;2 (0);7.9;0
Calabria;January;72.4;80.4;798 (31);5.4;21
Calabria;February;72.7;80.8;784 (30);6.1;19
Calabria;March;73.1;81.8;780 (30);6.5;21
Calabria;April;73.3;81.9;787 (30);5.9;20
Calabria;May;72.7;80.9;737 (29);4.5;21
Calabria;June;70.9;79.5;507 (19);3.2;21
Calabria;July;69.9;79.1;453 (17);2.7;20
Calabria;August;69.5;79.9;332 (13);2.9;20
Calabria;September;69.7;80.6;348 (13);3.4;20
Calabria;October;70.1;80.8;276 (10);3.0;18
Calabria;November;70.7;81.5;237 (9);3.5;16
Calabria;December;72.1;81.7;477 (18);4.5;19
Calexico;January;47.6;71;9 (0);9.0;1
Calexico;February;49.2;74.9;12 (0);9.7;2
Calexico;March;54;83;6 (0);10.7;1
Calexico;April;58.5;89.3;2 (0);11.6;0
Calexico;May;64.8;96.8;0 (0);12.4;0
Calexico;June;73;106.4;0 (0);12.8;0
Calexico;July;81.3;109.6;6 (0);12.6;1
Calexico;August;81.2;108.4;10 (0);11.9;2
Calexico;September;74.3;102.8;10 (0);11.1;1
Calexico;October;63.6;91.2;5 (0);10.1;1
Calexico;November;54;78.6;3 (0);9.3;0
Calexico;December;46.9;68.8;9 (0);8.8;1
Cancun;January;72.3;77.7;76 (2);7.0;9
Cancun;February;73.3;79.1;41 (1);7.9;7
Cancun;March;74.3;80.6;33 (1);8.5;6
Cancun;April;76;82.8;32 (1);9.3;5
Cancun;May;77.9;84.3;80 (3);10.1;8
Cancun;June;78.8;84.5;138 (5);10.2;12
Cancun;July;79.7;85.7;73 (2);10.6;9
Cancun;August;79.9;85.9;96 (3);10.0;11
Cancun;September;79;84.9;173 (6);9.2;15
Cancun;October;77.4;82.7;189 (7);8.4;15
Cancun;November;75.2;80.1;97 (3);7.7;10
Cancun;December;73.8;78.9;71 (2);7.3;9
Cannes;January;37.9;50.7;67 (2);6.5;5
Cannes;February;37;51.7;56 (2);7.5;5
Cannes;March;41.2;57;56 (2);8.9;5
Cannes;April;46.4;61.8;72 (2);10.2;6
Cannes;May;53.6;68.2;48 (1);11.6;5
Cannes;June;61.6;75.7;32 (1);12.5;4
Cannes;July;66.3;80.5;14 (0);12.4;2
Cannes;August;66.6;80.7;21 (0);11.5;3
Cannes;September;61;73.8;73 (2);9.8;5
Cannes;October;54.8;66.3;112 (4);7.8;7
Cannes;November;46.2;57.7;134 (5);6.8;7
Cannes;December;40;52.4;80 (3);6.4;6
Cape Coast;January;75.9;86.2;26 (1);8.3;6
Cape Coast;February;77.1;86.9;34 (1);8.2;7
Cape Coast;March;77.6;87.1;51 (2);8.3;11
Cape Coast;April;77.4;86.3;86 (3);8.2;15
Cape Coast;May;76.4;84.1;180 (7);7.2;20
Cape Coast;June;74.7;81.1;220 (8);6.1;19
Cape Coast;July;73.8;79.8;81 (3);5.8;14
Cape Coast;August;73.1;79.6;41 (1);4.9;9
Cape Coast;September;73.8;81.1;66 (2);6.1;11
Cape Coast;October;74.7;82.8;85 (3);7.1;16
Cape Coast;November;75.6;84.3;67 (2);7.7;16
Cape Coast;December;76.2;85.3;42 (1);8.1;11
Capri;January;28;43.6;59 (2);6.0;6
Capri;February;29;46.7;65 (2);6.4;6
Capri;March;34.7;54.8;83 (3);7.5;8
Capri;April;42;61.6;125 (4);8.4;13
Capri;May;50.1;69.2;142 (5);10.1;14
Capri;June;58.1;77.2;145 (5);11.4;14
Capri;July;62.3;80.7;133 (5);11.5;13
Capri;August;62.5;80;128 (5);10.4;12
Capri;September;55.7;71.3;135 (5);8.2;11
Capri;October;48.6;62.2;138 (5);5.7;9
Capri;November;39.3;52.2;141 (5);5.2;9
Capri;December;30.6;44.7;76 (2);5.6;6
Carlisle;January;34.2;42.3;103 (4);2.9;12
Carlisle;February;33.7;43.4;86 (3);3.7;10
Carlisle;March;35.2;46.8;76 (2);4.2;10
Carlisle;April;38.5;52;73 (2);5.9;11
Carlisle;May;43.8;57.3;76 (2);7.2;10
Carlisle;June;49;61.6;83 (3);6.6;11
Carlisle;July;52.3;64.7;88 (3);6.7;12
Carlisle;August;52;63.4;94 (3);5.9;12
